SYMBOL,DATE,itime,rtime,iprice
AA,20120103,9:30:00,,8.93
AA,20120103,9:45:00,9:44:59,8.94
AA,20120103,10:00:00,9:59:56,8.947
AA,20120103,10:15:00,10:14:58,8.993
AA,20120103,10:30:00,10:29:59,9
AA,20120103,10:45:00,10:44:58,8.95
AA,20120103,11:00:00,10:59:57,8.965
AA,20120103,11:15:00,11:14:59,9.05
AA,20120103,11:30:00,11:29:59,9.04
AA,20120103,11:45:00,11:44:59,8.99
AA,20120103,12:00:00,11:59:55,9.03
AA,20120103,12:15:00,12:14:59,9.04
AA,20120103,12:30:00,12:29:55,9.0482
AA,20120103,12:45:00,12:44:57,8.985
AA,20120103,13:00:00,12:59:54,9.019
AA,20120103,13:15:00,13:14:59,9.0199
AA,20120103,13:30:00,13:29:58,9.05
AA,20120103,13:45:00,13:44:58,9.0689
AA,20120103,14:00:00,13:59:57,9.0902
AA,20120103,14:15:00,14:14:53,9.121
AA,20120103,14:30:00,14:29:58,9.14
AA,20120103,14:45:00,14:44:59,9.175
AA,20120103,15:00:00,14:59:59,9.2
AA,20120103,15:15:00,15:14:57,9.23
AA,20120103,15:30:00,15:29:59,9.24
AA,20120103,15:45:00,15:44:58,9.26
AA,20120103,16:00:00,15:59:59,9.23
AA,20120103,16:15:00,16:14:46,9.21
AA,20120104,9:30:00,16:29:13,9.15
AA,20120104,9:45:00,9:44:59,9.24
AA,20120104,10:00:00,9:59:54,9.26
AA,20120104,10:15:00,10:14:58,9.17
AA,20120104,10:30:00,10:29:58,9.1711
AA,20120104,10:45:00,10:44:59,9.15
AA,20120104,11:00:00,10:59:54,9.175
AA,20120104,11:15:00,11:14:55,9.28
AA,20120104,11:30:00,11:29:59,9.285
AA,20120104,11:45:00,11:44:58,9.329
AA,20120104,12:00:00,11:59:59,9.311
AA,20120104,12:15:00,12:14:59,9.39
AA,20120104,12:30:00,12:29:59,9.49
AA,20120104,12:45:00,12:44:57,9.46
AA,20120104,13:00:00,12:59:58,9.5
AA,20120104,13:15:00,13:14:55,9.46
AA,20120104,13:30:00,13:29:58,9.365
AA,20120104,13:45:00,13:44:58,9.43
AA,20120104,14:00:00,13:59:50,9.43
AA,20120104,14:15:00,14:14:54,9.385
AA,20120104,14:30:00,14:29:59,9.42
AA,20120104,14:45:00,14:44:58,9.44
AA,20120104,15:00:00,14:59:57,9.45
AA,20120104,15:15:00,15:14:58,9.43
AA,20120104,15:30:00,15:29:58,9.45
AA,20120104,15:45:00,15:44:59,9.49
AA,20120104,16:00:00,15:59:59,9.46
AA,20120104,16:15:00,16:12:04,9.3598
AA,20120105,9:30:00,16:24:32,9.33
AA,20120105,9:45:00,9:44:59,9.2217
AA,20120105,10:00:00,9:59:59,9.2799
AA,20120105,10:15:00,10:14:59,9.3
AA,20120105,10:30:00,10:29:41,9.3284
AA,20120105,10:45:00,10:44:56,9.3
AA,20120105,11:00:00,10:59:56,9.3
AA,20120105,11:15:00,11:14:58,9.29
AA,20120105,11:30:00,11:29:58,9.38
AA,20120105,11:45:00,11:44:45,9.39
AA,20120105,12:00:00,11:59:57,9.395
AA,20120105,12:15:00,12:14:56,9.38
AA,20120105,12:30:00,12:29:58,9.41
AA,20120105,12:45:00,12:44:53,9.41
AA,20120105,13:00:00,12:59:58,9.4299
AA,20120105,13:15:00,13:14:53,9.4329
AA,20120105,13:30:00,13:29:58,9.4522
AA,20120105,13:45:00,13:44:55,9.47
AA,20120105,14:00:00,13:59:56,9.4582
AA,20120105,14:15:00,14:14:59,9.45
AA,20120105,14:30:00,14:29:59,9.39
AA,20120105,14:45:00,14:44:58,9.405
AA,20120105,15:00:00,14:59:58,9.39
AA,20120105,15:15:00,15:14:56,9.375
AA,20120105,15:30:00,15:29:59,9.37
AA,20120105,15:45:00,15:44:57,9.3501
AA,20120105,16:00:00,15:59:59,9.37
AA,20120105,16:15:00,16:13:24,9.32
AA,20120105,16:30:00,16:29:34,9.36
AA,20120106,9:30:00,16:30:00,9.08
AA,20120106,9:45:00,9:44:59,9.13
AA,20120106,10:00:00,9:59:58,9.162
AA,20120106,10:15:00,10:14:59,9.16
AA,20120106,10:30:00,10:29:56,9.115
AA,20120106,10:45:00,10:44:58,9.11
AA,20120106,11:00:00,10:59:59,9.114
AA,20120106,11:15:00,11:14:58,9.13
AA,20120106,11:30:00,11:29:58,9.13
AA,20120106,11:45:00,11:44:59,9.155
AA,20120106,12:00:00,11:59:54,9.17
AA,20120106,12:15:00,12:14:55,9.16
AA,20120106,12:30:00,12:29:59,9.16
AA,20120106,12:45:00,12:44:59,9.16
AA,20120106,13:00:00,12:59:50,9.16
AA,20120106,13:15:00,13:14:52,9.1501
AA,20120106,13:30:00,13:29:58,9.16
AA,20120106,13:45:00,13:44:58,9.19
AA,20120106,14:00:00,13:59:59,9.229
AA,20120106,14:15:00,14:14:58,9.222
AA,20120106,14:30:00,14:29:56,9.23
AA,20120106,14:45:00,14:44:57,9.225
AA,20120106,15:00:00,14:59:56,9.225
AA,20120106,15:15:00,15:14:58,9.245
AA,20120106,15:30:00,15:29:59,9.2
AA,20120106,15:45:00,15:44:59,9.16
AA,20120106,16:00:00,15:59:59,9.16
AA,20120106,16:15:00,16:14:23,9.19
AA,20120109,9:30:00,16:29:27,9.26
AA,20120109,9:45:00,9:44:57,9.3
AA,20120109,10:00:00,9:59:59,9.36
AA,20120109,10:15:00,10:14:58,9.4199
AA,20120109,10:30:00,10:29:59,9.45
AA,20120109,10:45:00,10:44:59,9.46
AA,20120109,11:00:00,10:59:59,9.4104
AA,20120109,11:15:00,11:14:56,9.4
AA,20120109,11:30:00,11:29:57,9.4001
AA,20120109,11:45:00,11:44:56,9.3946
AA,20120109,12:00:00,11:59:59,9.34
AA,20120109,12:15:00,12:14:59,9.368
AA,20120109,12:30:00,12:29:59,9.378
AA,20120109,12:45:00,12:44:59,9.3501
AA,20120109,13:00:00,12:59:58,9.36
AA,20120109,13:15:00,13:14:54,9.33
AA,20120109,13:30:00,13:29:53,9.3399
AA,20120109,13:45:00,13:44:58,9.3419
AA,20120109,14:00:00,13:59:59,9.39
AA,20120109,14:15:00,14:14:59,9.415
AA,20120109,14:30:00,14:29:58,9.399
AA,20120109,14:45:00,14:44:59,9.39
AA,20120109,15:00:00,14:59:56,9.3962
AA,20120109,15:15:00,15:14:58,9.3999
AA,20120109,15:30:00,15:29:57,9.36
AA,20120109,15:45:00,15:44:59,9.42
AA,20120109,16:00:00,15:59:59,9.4276
AA,20120109,16:15:00,16:14:57,9.44
AA,20120110,9:30:00,16:29:59,9.7
AA,20120110,9:45:00,9:44:59,9.58
AA,20120110,10:00:00,9:59:59,9.51
AA,20120110,10:15:00,10:14:59,9.555
AA,20120110,10:30:00,10:29:59,9.53
AA,20120110,10:45:00,10:44:58,9.535
AA,20120110,11:00:00,10:59:59,9.55
AA,20120110,11:15:00,11:14:58,9.519
AA,20120110,11:30:00,11:29:59,9.56
AA,20120110,11:45:00,11:44:57,9.52
AA,20120110,12:00:00,11:59:58,9.495
AA,20120110,12:15:00,12:14:58,9.4629
AA,20120110,12:30:00,12:29:59,9.42
AA,20120110,12:45:00,12:44:59,9.46
AA,20120110,13:00:00,12:59:59,9.43
AA,20120110,13:15:00,13:14:55,9.44
AA,20120110,13:30:00,13:29:59,9.4202
AA,20120110,13:45:00,13:44:59,9.46
AA,20120110,14:00:00,13:59:58,9.455
AA,20120110,14:15:00,14:14:58,9.469
AA,20120110,14:30:00,14:29:58,9.46
AA,20120110,14:45:00,14:44:59,9.51
AA,20120110,15:00:00,14:59:52,9.4801
AA,20120110,15:15:00,15:14:59,9.47
AA,20120110,15:30:00,15:29:59,9.455
AA,20120110,15:45:00,15:44:57,9.39
AA,20120110,16:00:00,15:59:59,9.44
AA,20120110,16:15:00,16:10:56,9.5218
AA,20120111,9:30:00,16:25:50,9.46
AA,20120111,9:45:00,9:44:59,9.4
AA,20120111,10:00:00,9:59:54,9.4014
AA,20120111,10:15:00,10:14:59,9.4076
AA,20120111,10:30:00,10:29:59,9.42
AA,20120111,10:45:00,10:44:58,9.4599
AA,20120111,11:00:00,10:59:59,9.417
AA,20120111,11:15:00,11:14:59,9.47
AA,20120111,11:30:00,11:29:53,9.4625
AA,20120111,11:45:00,11:44:57,9.51
AA,20120111,12:00:00,11:59:57,9.51
AA,20120111,12:15:00,12:14:57,9.52
AA,20120111,12:30:00,12:29:59,9.554
AA,20120111,12:45:00,12:44:58,9.57
AA,20120111,13:00:00,12:59:59,9.5786
AA,20120111,13:15:00,13:14:59,9.585
AA,20120111,13:30:00,13:29:58,9.595
AA,20120111,13:45:00,13:44:59,9.65
AA,20120111,14:00:00,13:59:59,9.646
AA,20120111,14:15:00,14:14:59,9.65
AA,20120111,14:30:00,14:29:54,9.6165
AA,20120111,14:45:00,14:44:57,9.635
AA,20120111,15:00:00,14:59:59,9.6201
AA,20120111,15:15:00,15:14:58,9.635
AA,20120111,15:30:00,15:29:59,9.655
AA,20120111,15:45:00,15:44:58,9.65
AA,20120111,16:00:00,15:59:59,9.635
AA,20120111,16:15:00,16:10:55,9.61
AA,20120112,9:30:00,16:21:45,9.82
AA,20120112,9:45:00,9:44:58,9.73
AA,20120112,10:00:00,9:59:59,9.69
AA,20120112,10:15:00,10:14:59,9.629
AA,20120112,10:30:00,10:29:58,9.665
AA,20120112,10:45:00,10:44:59,9.645
AA,20120112,11:00:00,10:59:56,9.66
AA,20120112,11:15:00,11:14:58,9.72
AA,20120112,11:30:00,11:29:59,9.72
AA,20120112,11:45:00,11:44:59,9.745
AA,20120112,12:00:00,11:59:59,9.81
AA,20120112,12:15:00,12:14:58,9.8
AA,20120112,12:30:00,12:29:58,9.83
AA,20120112,12:45:00,12:44:57,9.8499
AA,20120112,13:00:00,12:59:59,9.85
AA,20120112,13:15:00,13:14:59,9.8116
AA,20120112,13:30:00,13:29:51,9.845
AA,20120112,13:45:00,13:44:57,9.79
AA,20120112,14:00:00,13:59:59,9.836
AA,20120112,14:15:00,14:14:58,9.83
AA,20120112,14:30:00,14:29:59,9.85
AA,20120112,14:45:00,14:44:59,9.88
AA,20120112,15:00:00,14:59:58,9.924
AA,20120112,15:15:00,15:14:58,9.9
AA,20120112,15:30:00,15:29:57,9.93
AA,20120112,15:45:00,15:44:58,9.95
AA,20120112,16:00:00,15:59:59,9.94
AA,20120112,16:15:00,16:12:16,9.94
AA,20120113,9:30:00,16:29:35,9.85
AA,20120113,9:45:00,9:44:53,9.72
AA,20120113,10:00:00,9:59:59,9.81
AA,20120113,10:15:00,10:14:59,9.7
AA,20120113,10:30:00,10:29:59,9.7075
AA,20120113,10:45:00,10:44:59,9.6988
AA,20120113,11:00:00,10:59:57,9.71
AA,20120113,11:15:00,11:14:58,9.76
AA,20120113,11:30:00,11:29:58,9.78
AA,20120113,11:45:00,11:44:50,9.82
AA,20120113,12:00:00,11:59:59,9.858
AA,20120113,12:15:00,12:14:53,9.76
AA,20120113,12:30:00,12:29:56,9.775
AA,20120113,12:45:00,12:44:56,9.76
AA,20120113,13:00:00,12:59:59,9.731
AA,20120113,13:15:00,13:14:57,9.7
AA,20120113,13:30:00,13:29:58,9.6899
AA,20120113,13:45:00,13:44:54,9.705
AA,20120113,14:00:00,13:59:59,9.73
AA,20120113,14:15:00,14:14:58,9.73
AA,20120113,14:30:00,14:29:56,9.73
AA,20120113,14:45:00,14:44:57,9.74
AA,20120113,15:00:00,14:59:56,9.744
AA,20120113,15:15:00,15:14:59,9.81
AA,20120113,15:30:00,15:29:53,9.785
AA,20120113,15:45:00,15:44:56,9.78
AA,20120113,16:00:00,15:59:59,9.785
AA,20120113,16:15:00,16:12:45,9.81
AA,20120117,9:30:00,16:29:29,9.98
AA,20120117,9:45:00,9:44:56,9.927
AA,20120117,10:00:00,9:59:59,9.85
AA,20120117,10:15:00,10:14:57,9.885
AA,20120117,10:30:00,10:29:43,9.9095
AA,20120117,10:45:00,10:44:57,9.8979
AA,20120117,11:00:00,10:59:59,9.92
AA,20120117,11:15:00,11:14:59,9.9
AA,20120117,11:30:00,11:29:59,9.876
AA,20120117,11:45:00,11:44:58,9.89
AA,20120117,12:00:00,11:59:58,9.8535
AA,20120117,12:15:00,12:14:59,9.83
AA,20120117,12:30:00,12:29:54,9.805
AA,20120117,12:45:00,12:44:55,9.78
AA,20120117,13:00:00,12:59:57,9.81
AA,20120117,13:15:00,13:14:59,9.84
AA,20120117,13:30:00,13:29:55,9.84
AA,20120117,13:45:00,13:44:53,9.841
AA,20120117,14:00:00,13:59:59,9.8584
AA,20120117,14:15:00,14:14:59,9.822
AA,20120117,14:30:00,14:29:59,9.83
AA,20120117,14:45:00,14:44:58,9.8
AA,20120117,15:00:00,14:59:56,9.7601
AA,20120117,15:15:00,15:14:58,9.72
AA,20120117,15:30:00,15:29:59,9.75
AA,20120117,15:45:00,15:44:58,9.7725
AA,20120117,16:00:00,15:59:59,9.75
AA,20120117,16:15:00,16:09:16,9.76
AA,20120118,9:30:00,16:25:17,9.8
AA,20120118,9:45:00,9:44:58,9.85
AA,20120118,10:00:00,9:59:58,9.845
AA,20120118,10:15:00,10:14:58,9.91
AA,20120118,10:30:00,10:29:57,9.96
AA,20120118,10:45:00,10:44:59,9.975
AA,20120118,11:00:00,10:59:57,9.96
AA,20120118,11:15:00,11:14:57,9.97
AA,20120118,11:30:00,11:29:59,9.9398
AA,20120118,11:45:00,11:44:56,9.92
AA,20120118,12:00:00,11:59:55,9.925
AA,20120118,12:15:00,12:14:57,9.95
AA,20120118,12:30:00,12:29:59,9.98
AA,20120118,12:45:00,12:44:53,9.975
AA,20120118,13:00:00,12:59:58,9.967
AA,20120118,13:15:00,13:14:56,9.965
AA,20120118,13:30:00,13:29:45,9.95
AA,20120118,13:45:00,13:44:54,9.943
AA,20120118,14:00:00,13:59:58,9.9184
AA,20120118,14:15:00,14:14:58,9.97
AA,20120118,14:30:00,14:29:52,9.98
AA,20120118,14:45:00,14:44:52,9.97
AA,20120118,15:00:00,14:59:59,9.96
AA,20120118,15:15:00,15:14:59,9.975
AA,20120118,15:30:00,15:29:57,9.98
AA,20120118,15:45:00,15:44:59,10.02
AA,20120118,16:00:00,15:59:59,10.01
AA,20120118,16:15:00,16:13:07,10.02
AA,20120119,9:30:00,16:27:59,10.09
AA,20120119,9:45:00,9:44:56,10.12
AA,20120119,10:00:00,9:59:59,10.08
AA,20120119,10:15:00,10:14:55,10.0999
AA,20120119,10:30:00,10:29:57,10.118
AA,20120119,10:45:00,10:44:57,10.1499
AA,20120119,11:00:00,10:59:57,10.159
AA,20120119,11:15:00,11:14:59,10.18
AA,20120119,11:30:00,11:29:59,10.1923
AA,20120119,11:45:00,11:44:56,10.21
AA,20120119,12:00:00,11:59:58,10.21
AA,20120119,12:15:00,12:14:58,10.188
AA,20120119,12:30:00,12:29:59,10.19
AA,20120119,12:45:00,12:44:53,10.165
AA,20120119,13:00:00,12:59:59,10.14
AA,20120119,13:15:00,13:14:58,10.145
AA,20120119,13:30:00,13:29:59,10.17
AA,20120119,13:45:00,13:44:55,10.1507
AA,20120119,14:00:00,13:59:59,10.1393
AA,20120119,14:15:00,14:14:43,10.14
AA,20120119,14:30:00,14:29:54,10.16
AA,20120119,14:45:00,14:44:54,10.17
AA,20120119,15:00:00,14:59:58,10.1501
AA,20120119,15:15:00,15:14:59,10.165
AA,20120119,15:30:00,15:29:57,10.1512
AA,20120119,15:45:00,15:44:59,10.185
AA,20120119,16:00:00,15:59:59,10.18
AA,20120119,16:15:00,16:14:18,10.1899
AA,20120120,9:30:00,16:26:14,10.13
AA,20120120,9:45:00,9:44:59,10.0999
AA,20120120,10:00:00,9:59:56,10.2
AA,20120120,10:15:00,10:14:56,10.13
AA,20120120,10:30:00,10:29:59,10.165
AA,20120120,10:45:00,10:44:59,10.165
AA,20120120,11:00:00,10:59:59,10.125
AA,20120120,11:15:00,11:14:59,10.12
AA,20120120,11:30:00,11:29:59,10.13
AA,20120120,11:45:00,11:44:58,10.11
AA,20120120,12:00:00,11:59:59,10.135
AA,20120120,12:15:00,12:14:58,10.125
AA,20120120,12:30:00,12:29:56,10.15
AA,20120120,12:45:00,12:44:59,10.1399
AA,20120120,13:00:00,12:59:58,10.145
AA,20120120,13:15:00,13:14:55,10.1675
AA,20120120,13:30:00,13:29:54,10.185
AA,20120120,13:45:00,13:44:57,10.161
AA,20120120,14:00:00,13:59:59,10.1485
AA,20120120,14:15:00,14:14:58,10.14
AA,20120120,14:30:00,14:29:55,10.14
AA,20120120,14:45:00,14:44:59,10.15
AA,20120120,15:00:00,14:59:54,10.17
AA,20120120,15:15:00,15:14:59,10.16
AA,20120120,15:30:00,15:29:59,10.15
AA,20120120,15:45:00,15:44:59,10.15
AA,20120120,16:00:00,15:59:59,10.17
AA,20120120,16:15:00,16:13:38,10.17
AA,20120123,9:30:00,16:27:21,10.21
AA,20120123,9:45:00,9:44:58,10.2202
AA,20120123,10:00:00,9:59:53,10.26
AA,20120123,10:15:00,10:14:58,10.3
AA,20120123,10:30:00,10:29:59,10.25
AA,20120123,10:45:00,10:44:57,10.27
